new_upper_mass,new_lower_mass,new_gear,new_upper_joint_range_min,new_upper_joint_range_max,new_lower_joint_range_min,new_lower_joint_range_max,random_num_upper_legs,random_num_lower_legs,fitness_score
3.478259282987793,1.0798138751509394,110.13216578732994,-25,0,-30,0,3,4,1.0764587715138068
1.738583799710268,7.260973539612523,179.97100386659633,-15,0,-20,0,4,3,0.6899045508614414
1.4419313888652097,9.900017622460508,159.72031804413342,-15,0,-25,0,1,2,1.3142238567430207
2.4258998228406985,9.805391986582821,262.72567710199587,-20,0,-20,0,1,4,3.1295598074345836
1.5954162398911245,9.541580344096488,107.64398652825322,-25,0,-25,0,3,3,0.896350903673619
3.422394151671536,7.887393336519423,142.4842829480911,-25,0,-20,0,3,3,0.6366819639828613
3.864529049423106,5.751867104656725,195.00590079013244,-25,0,-30,0,2,1,1.1727812886895777
3.2673510632201785,6.759923907045415,241.33916760715942,-30,0,-20,0,4,3,1.1351487686601514
3.6475891650512966,8.48518285721648,177.87920962555694,-20,0,-30,0,2,1,1.2286075649508161
4.508108795716998,8.86735832320618,186.057672615314,-25,0,-15,0,3,2,0.7324367724117676
3.0158239483461227,7.34817133047067,249.56589345721164,-25,0,-25,0,1,1,1.140930642199452
3.6644922103130275,8.334254714015538,264.7859899027629,-15,0,-20,0,2,1,1.3421072343092049
4.938669754467826,8.01528158166202,163.86483263965235,-30,0,-15,0,2,2,0.751547211044574
4.24751234183681,3.5983143584886914,298.4225291553014,-20,0,-30,0,3,2,0.8848139987092697
2.4022835748706717,7.112149634685867,123.78277989510542,-15,0,-20,0,2,1,1.2840924968319662
3.915519479625195,2.792360333738964,151.40170480708187,-15,0,-25,0,2,3,2.117480595586741
2.2853570868619095,3.4591104075756354,238.09467637934907,-30,0,-15,0,2,1,1.199272808363302
1.0004862219445663,2.500374961624119,244.1128988104814,-25,0,-20,0,1,3,2.5474079953772577
4.0930032406578505,1.5100837505758573,118.7436670834241,-25,0,-25,0,2,3,1.2113322966481246
4.006934587084787,1.9476685819652177,176.47328149309226,-15,0,-20,0,2,4,1.485968108012049
1.687207594182953,9.797117917129828,297.01427484392,-25,0,-20,0,3,4,1.5479262183204618
3.0587645004347745,8.274875775375758,192.7063926658233,-30,0,-20,0,2,2,0.7541434539996021
4.361534181080172,3.3140160815692368,175.42646363873544,-30,0,-20,0,2,2,0.9301517419299354
3.8343306524938505,6.52701464317145,209.06627197490286,-25,0,-20,0,3,2,1.3437906685491068
2.271884007860161,7.214484268610673,221.24579395343264,-15,0,-30,0,4,3,1.2010186812096406
3.7869334540500312,4.358035013412875,224.9209253987574,-20,0,-20,0,2,3,1.3109737220880144
1.2579150964389596,6.892314283002827,257.26646860139704,-15,0,-25,0,2,4,1.9771829915963266
3.6615602960317606,6.685081576893105,236.49872459942435,-20,0,-25,0,3,4,4.468068650131441
1.4590120521453054,7.926026835147777,131.36481342993486,-25,0,-25,0,1,4,3.4228057435858803
4.172784336852915,6.228068025346336,191.16540455561446,-15,0,-30,0,3,2,1.9878371584640993
2.5570780823536015,4.921609460781604,168.56159021810885,-15,0,-25,0,1,3,1.5759502668158907
2.0249080852120964,7.226440181857068,197.967237281767,-30,0,-30,0,3,2,0.9994005224264755
1.4765572858303533,6.41231455571911,146.80656848036122,-25,0,-30,0,3,4,1.0821002397698072
2.6084883538604937,7.857261151916358,190.04908209315286,-30,0,-20,0,1,2,1.984655079955726
4.342959941945699,6.976892676993944,105.43025903331566,-25,0,-20,0,4,4,0.8707895388399639
3.231320269618388,9.812445493755721,205.06398126966025,-20,0,-15,0,3,3,1.1893796421767409
3.275525514972509,2.6508329467040923,158.53909784040218,-20,0,-15,0,2,3,1.3338064455061063
3.5871362825932196,9.730843421167444,161.81700538762138,-20,0,-20,0,3,3,1.0049145998542421
3.5782140778602387,6.863795780901077,298.59917888682264,-30,0,-20,0,1,0,1.302867039574046
4.07860480143842,2.200355960377947,277.7528788995314,-20,0,-25,0,2,1,1.1706621888865583
1.6880946084822686,7.13283759873089,121.29465559227043,-15,0,-20,0,1,1,1.1555408403375256
4.996945036171276,9.593084096416254,165.89519488298427,-25,0,-25,0,4,3,1.1851845091806146
