new_upper_mass,new_lower_mass,new_gear,new_upper_joint_range_min,new_upper_joint_range_max,new_lower_joint_range_min,new_lower_joint_range_max,random_num_upper_legs,random_num_lower_legs,fitness_score
2.160594036219552,4.7990112971383425,102.4813305121589,-15,0,-25,0,3,3,0.911650386853928
2.942217682890522,1.997364152073576,212.0003169922884,-30,0,-15,0,2,4,1.610472626172239
4.614621918771748,8.891834221804123,152.41402775522442,-25,0,-25,0,2,4,1.9439095187563569
3.7217994778056864,2.4433988876461936,234.65176643142735,-25,0,-20,0,1,1,1.1460759526829047
4.929008281228205,9.243412610822215,187.79010237536653,-15,0,-20,0,1,0,1.3058528071730933
1.2725179880830142,6.0589044195244295,157.58814828063515,-25,0,-30,0,4,3,1.4587110176739104
3.094058820255215,8.322766266270635,228.3299366123716,-30,0,-25,0,1,1,1.1111883945649415
1.9526385719993868,6.53577553555709,101.21525183837417,-30,0,-30,0,3,2,0.6129499818773282
2.814887421631272,9.192131507749053,136.20588245944222,-20,0,-20,0,4,4,1.137636906390775
4.2711136439494926,9.226672666398136,114.90993180990594,-15,0,-20,0,4,4,0.7820742040332551
3.039256493504639,4.472307660528527,208.20942429403692,-20,0,-30,0,3,3,0.8555417719237395
4.821559908942992,2.5353880641671527,118.65163179663448,-25,0,-20,0,3,2,1.990194649906173
1.20582636497018,4.576156864082408,265.84496197925137,-30,0,-30,0,2,1,1.2569834936194222
1.1639384343930503,3.1411023290738918,171.39794201580457,-15,0,-25,0,3,2,1.4893436223748056
2.3191341599271875,7.349364677402084,139.2630798023339,-20,0,-20,0,2,1,1.2561809915579796
2.8616733899533235,6.4253308794735515,215.228779041603,-25,0,-15,0,4,3,1.2384899254871837
2.0740881356790517,3.2777738247566193,127.3011524976759,-25,0,-25,0,3,3,1.490584617091866
2.446238554572222,4.202744198716564,150.47273764166226,-20,0,-30,0,1,4,1.482663387689909
3.525091075838655,3.632581370043483,137.2218271820438,-25,0,-15,0,2,1,1.2588209273787023
3.1097034019163035,7.48190196424367,203.40165020377293,-25,0,-25,0,3,3,0.86388837263771
